Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
34449,The Makioka Sisters,Jun'ichirō Tanizaki,"Tanizaki, Jun'ichirō",Edward G. Seidensticker,"=""0679761640""","=""9780679761648""",0,4.03,Vintage,Paperback,530,1995,1948,,2024/05/23,to-read,to-read (#155),to-read,,,,0,0
11721966,Good Strategy Bad Strategy: The Difference and Why It Matters,Richard P. Rumelt,"Rumelt, Richard P.",,"=""0307886255""","=""9780307886255""",0,4.13,Crown Business,Unknown Binding,320,2011,2011,,2024/05/22,currently-reading,currently-reading (#6),currently-reading,,,,1,0
386372,"Mort (Discworld, #4; Death, #1)",Terry Pratchett,"Pratchett, Terry",,"=""0061020680""","=""9780061020681""",0,4.24,Harpertorch,Mass Market Paperback,243,2001,1987,,2024/05/22,to-read,to-read (#154),to-read,,,,0,0
91274427,What You Are Looking For Is in the Library,Michiko Aoyama,"Aoyama, Michiko",Alison Watts,"=""1335005625""","=""9781335005625""",0,4.10,Hanover Square Press,Hardcover,304,2023,2020,,2024/05/22,to-read,to-read (#153),to-read,,,,0,0
42837514,Gender Queer,Maia Kobabe,"Kobabe, Maia",,"=""1549304003""","=""9781549304002""",0,4.28,Oni Press,Paperback,240,2019,2019,,2024/05/19,to-read,to-read (#152),to-read,,,,0,0
722412,The Dream Machine: J.C.R. Licklider and the Revolution That Made Computing Personal,M. Mitchell Waldrop,"Waldrop, M. Mitchell",,"=""014200135X""","=""9780142001356""",0,4.57,Penguin Books,Paperback,512,2002,2001,,2024/05/16,to-read,to-read (#151),to-read,,,,0,0
193781998,The Husbands,Holly Gramazio,"Gramazio, Holly",,"=""0385550618""","=""9780385550611""",0,3.56,Doubleday,Hardcover,352,2024,2024,,2024/05/12,to-read,to-read (#150),to-read,,,,0,0
123857637,Never Split the Difference: Negotiating as if Your Life Depended on It,Chris Voss,"Voss, Chris",Tahl Raz,"=""1847941494""","=""9781847941497""",0,4.36,Random House Business,Paperback,288,2023,2016,,2024/05/07,to-read,to-read (#149),to-read,,,,0,0
52283963,The Mom Test: How to talk to customers & learn if your business is a good idea when everyone is lying to you,Rob  Fitzpatrick,"Fitzpatrick, Rob",,"=""""","=""""",5,4.37,Robfitz Ltd,Kindle Edition,138,2019,2013,2024/05/06,2024/05/06,,,read,Would highly recommend to read this before doing any user interview! This gives me the courage and mentality to practice user interviews as a skill ,,,1,0
59335616,Where Is My Flying Car?,J. Storrs Hall,"Hall, J. Storrs",,"=""1953953271""","=""9781953953278""",0,4.09,Stripe Press,Kindle Edition,333,2021,,,2024/04/09,currently-reading,currently-reading (#5),currently-reading,,,,1,0
